"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
1,2019-08-20 13:03:56,"UNICAMP","UEC",156864,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Santos, LB",2009,"10",NA,NA,"Santos, LB","384",NA,2009,"10","13",NA,NA,NA,"Brazil","São Paulo","Botucatu","Parque Ecológico da Pavuna, Da sede até o lago e volta contornando toda a borda.",-46.511111,-22.8375,NA,NA,750,750,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore, 5m, látex copioso, ramos lustrosos, lenticelados, com cicatrizes das folhas já caídas, folhas cartáceas, frutos imaturos verdes, brilhantes. Duplicata 7.; Floresta Estacional Semidecídua - Mata Atlântica.</nO>","UEC008878",NA
2,2019-08-20 13:03:56,"UNICAMP","UEC",159969,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Franco, GADC",2010,"01",29,NA,"Miashike, RL; Ivanauskas, NM; Silva, JB; Machado, SD","47",NA,2009,"12","06",NA,NA,NA,"Brazil","São Paulo","Iporanga","Parque Estadual Turístico do Alto Ribeira, Núecleo Caboclos, Trilha Cada se Pedra, Floresta Ombrófila Densa Montana (SAD69, Zona 22J.",-48.588889,-24.449444,NA,NA,580,580,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore, 11 m. Fruto imaturo verde.</nO>","UEC017918",NA
3,2019-08-20 13:03:56,"UNICAMP","UEC",179444,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Caxambu, MG",2010,"11",24,NA,"Siqueira, EL; et al.","373",NA,2010,"10","29",NA,NA,NA,"Brazil","Paraná","Luiziana","Estação Ecológica Luiziana.",-52.4595,-24.522861,NA,NA,666,666,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore semi-ciófila, ca. 7m; com látex alvo. Frutos imaturos verdes.; Relevo: suave-ondulado.</nO>","UEC031553",NA
4,2019-08-20 13:03:56,"UNICAMP","UEC",23457,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Marcondes-Ferreira, W",1984,"04",NA,NA,"Matthes, LAF","673",NA,1981,"01","12",NA,NA,NA,"Brazil","Minas Gerais","Poços de Caldas","Recanto Japonês, nativo de mata de encos",-46.564722,-21.838889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>fruto, Árvore até 15 m. frutos verdes imaturos.</nO>",NA,NA
5,2019-08-20 13:03:56,"UNICAMP","UEC",167300,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Santos, K",NA,NA,NA,NA,"Santos, K; Belinello, R","3813",NA,2001,"01","18",NA,NA,NA,"Brazil","São Paulo","Itatiba","Mata da Fazenda Malabar - mata da torre (Fragmento M3); área total: 20 ha., Floresta estacional semidecidual.",-46.866667,-22.916667,NA,NA,717,717,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore semidecídua, zoocórica; cortéx rugoso, madeira leve; altura total: 9 m; altura do fuste: 6 m; PAP: 62 cm. 76-100 % da copa infestada por lianas.</nO>","UEC035964",NA
6,2019-08-20 13:03:56,"UNICAMP","UEC",66992,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Silva, AS",2009,"03",NA,NA,"Stival-Santos, A; Silveira, S","467",NA,2009,"03","06",NA,NA,NA,"Brazil","Santa Catarina","Romelândia","Local: Ouro.",-53.335278,-26.595833,NA,NA,610,610,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Florística IFFSC 3416(Arbórea).&nf;Fruto imaturo verde.; Floresta Estacional Decidual.&nf;Habitat: interior da mata.</nO>","UEC033323",NA
7,2019-08-20 13:03:56,"UNICAMP","UEC",93328,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Cressens, S",1997,NA,NA,NA,"Herrera, J; Schiaffino, K; Malmierca, L","207",NA,1996,"09","30",NA,NA,NA,"Argentina","Misiones","Iguazú","Parque Nacional Iguazú. Cruce acceso áre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>flor, Arbol 15 - 20 m, alt. Copa ancha, ramas gruesas. Flores blancas.</nO>",NA,NA
8,2019-08-20 13:03:56,"UNICAMP","UEC",80512,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Rodrigues, RR; Cardoso-Leite, E",NA,NA,NA,NA,"Cardoso-Leite, E; Oliveira, A","384",NA,1994,"08","18",NA,NA,NA,"Brazil","São Paulo","São Roque","Mata da Câmara.",-48.080556,-23.523889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>estéril, Látex branco. 8 m de altura. Mata mesófila semidecídua.</nO>",NA,NA
9,2019-08-20 13:03:56,"UNICAMP","UEC",194512,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Silva, BG",2016,"12",15,NA,"Silva, BG; Pires, TP","317",NA,2016,"10","11",NA,NA,NA,"Brazil","São Paulo","Jundiaí","Serra do Japi",-47.604536,-23.385372,NA,NA,916,916,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Floresta Estacional Semidecidual</nO>","UEC131816",NA
10,2019-08-20 13:03:56,"UNICAMP","UEC",167533,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Santos, K",NA,NA,NA,NA,"Santos, K; Belinello, R","2924",NA,2000,"08","15",NA,NA,NA,"Brazil","São Paulo","Campinas","Mata da Fazenda Capoeira Grande (Fragmento M1); área total: 19,9 ha. Floresta estacional semidecídual.",-46.9,-22.866667,NA,NA,885,885,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore semidecídua, zoocórica; córtex rugoso, madeira leve; altura total: 16 m; altura do fuste: 12 m; PAP: 130 cm. 26-50 % da copa infestada por lianas.</nO>","UEC035948",NA
11,2019-08-20 13:03:56,"UNICAMP","UEC",64120,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.",NA,NA,NA,NA,NA,"Botta, KR","24018",NA,1981,"03","23",NA,NA,NA,"Brazil","São Paulo",NA,"Capão Bonito / Guapiara Divisa com Sítio Alegre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>fruto, Árvore de grande porte (+/- 15 metros de altura.) no interior da mata. Frutos verdes nome vulgar = \"para-tudo ou Pratudeiro\". Medicinal.</nO>",NA,NA
12,2019-08-20 13:03:56,"UNICAMP","UEC",167301,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Santos, K",NA,NA,NA,NA,"Santos, K; Belinello, R","2281",NA,2000,"06","21",NA,NA,NA,"Brazil","São Paulo","Campinas","Mata da Fazenda Santa Helena (Fragmento P1); área total: 12,5 ha., floresta estacional semidecidual.",-46.9,-22.9,NA,NA,887,887,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore semidecídua, zoocórica; cortéx rugoso, madeira leve; altura total: 7 m; altura do fuste: 1,5 m; PAP: 58 cm.</nO>","UEC035963",NA
13,2019-08-20 13:03:56,"UNICAMP","UEC",167299,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Santos, K",NA,NA,NA,NA,"Santos, K; Belinello, R","1234",NA,2000,"05","05",NA,NA,NA,"Brazil","São Paulo","Campinas","Mata Ribeirão Cachoeira (Área C1); área total : 244,9 ha., Floresta estacional semidecidual.",-46.916667,-22.816667,NA,NA,653,653,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore semidecídua, zoocórica; cortéx rugoso, madeira leve; altura total: 4 m; altura do fuste: 3,5 m; PAP: 23 cm. 76-100 % da copa infestada por lianas.</nO>","UEC091327",NA
14,2019-08-20 13:03:56,"UNICAMP","UEC",105750,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Mendonça Filho, CV",NA,NA,NA,NA,"Tozzi, AMGA; Galvão, JC; Mendonça Filho, CV; Moreira, JLA; Santos, K; Filliettaz, AM","98121",NA,1998,"12","01",NA,NA,NA,"Brazil","São Paulo","Iperó","Estrada para a pedreira, Fazenda Ipanema. Floresta Estacional semidecidual, próximo ao riacho.",-47.683333,-23.4,NA,NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>Árvore 10 m.; com látex branco e frutos imaturos verdes.</nO>","UEC184033",NA
15,2019-08-20 13:03:56,"UNICAMP","UEC",77277,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.",NA,NA,NA,NA,NA,"Toledo, DV; Bertoni, JEA","25699",NA,1990,"12","17",NA,NA,NA,"Brazil","São Paulo","Águas da Prata","Reserva Estadual de Águas da Prata.",-46.7099990844727,-21.9300003051758,13435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>fruto, Árvore com 20-25 m no interior da mata. Ramos com frutos. Mata mesófila semidecídua.</nO>","UEC184034","auto"
16,2019-08-20 13:03:56,"UNICAMP","UEC",119203,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Andrade, SF",2000,NA,NA,NA,"Alves, J","s.n.",NA,2000,"04","25",NA,NA,NA,"Brazil","Paraná","Arapongas","Fazenda Bule.",-51.4244003295898,-23.4193992614746,18630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<nO>fruto, Árvore de 8 m. frutos de coloração vermelha. \"Casca D#?#Anta\".</nO>",NA,"auto"
17,2019-08-20 13:03:56,"UNICAMP","UEC",145800,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Kinoshita, LS",NA,NA,NA,NA,"Marasca, RM","10",NA,2006,"12","14",NA,NA,NA,"Brazil","São Paulo","Campinas","Bairro Taquaral -Parque Portugal",-47.060001373291,-22.8999996185303,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEC170457","auto"
